"scientific_name","common_name","genus","category","family","order","production_sector","broad_category","nutrient","value"
"konosirus punctatus","dotted gizzard shad","konosirus","Freshwater Fish","clupeidae","clupeiformes","import","Marine areas","Iron",2.82
"plecoglossus altivelis","ayu sweetfish","plecoglossus","Freshwater Fish","plecoglossidae","osmeriformes","import","Inland waters","Iron",3.875
"rutilus rutilus","roach","rutilus","Freshwater Fish","cyprinidae","cypriniformes","import","Marine areas","Iron",0.511413909090909
"salangichthys microdon","japanese icefish","salangichthys","Freshwater Fish","salangidae","osmeriformes","import","Inland waters","Iron",1.36666666666667
"salmo trutta","sea trout","salmo","Freshwater Fish","salmonidae","salmoniformes","import","Inland waters","Iron",1.55428571428571
"salmonidae","salmonids nei",NA,"Freshwater Fish","salmonidae","salmoniformes","import","Marine areas","Iron",1.5
"salmonidae","salmonoids nei",NA,"Freshwater Fish","salmonidae","salmoniformes","import","Marine areas","Iron",1.5
"tenualosa ilisha","hilsa shad","tenualosa","Freshwater Fish","clupeidae","clupeiformes","import","Marine areas","Iron",1.84268777777778
"arctica islandica","ocean quahog","arctica","Moluscs; Other","arcticidae","veneroida","import","Marine areas","Iron",5.3
"crassostrea virginica","american cupped oyster","crassostrea","Moluscs; Other","ostreidae","ostreoida","import","Marine areas","Iron",6.61714285714286
"gastropoda","gastropods nei",NA,"Moluscs; Other",NA,NA,"import","Marine areas","Iron",3.9
"mercenaria mercenaria","northern quahog(=hard clam)","mercenaria","Moluscs; Other","veneridae","veneroida","import","Marine areas","Iron",2.8
"mya arenaria","sand gaper","mya","Moluscs; Other","myidae","myoida","import","Marine areas","Iron",5.255
"ostreidae","flat and cupped oysters nei",NA,"Moluscs; Other","ostreidae","ostreoida","import","Marine areas","Iron",5.98528571428571
